postscript	lang	text	fallback	url	group	full_name
Countrysidetwo	en	Countryside two	Countryside two	https://storage.appchief.dev/fonts/February2021/Kfq2seJ7gsVpc7DpJzwL.ttf	الانجليزية	Countryside two
DeLaFuente	en	De La Fuente	De La Fuente	https://storage.appchief.dev/fonts/February2021/52gSFTqi83Mg2RJpCtDF.ttf	الانجليزية	De La Fuente
AutourOne-Regular	en	Autour One	Autour One	https://storage.appchief.dev/fonts/February2021/p1rqT5vh4x0bZKJUk1sf.ttf	الانجليزية	Autour One Regular
Chomsky	en	Chomsky	Chomsky	https://storage.appchief.dev/fonts/February2021/AMZ69KqjP3cGG3P07v4k.otf	الانجليزية	Chomsky
LibreBarcode39Text-Regular	en	Libre Barcode 39 Text	Libre Barcode 39 Text	https://storage.appchief.dev/fonts/url/sJoa3KhViNKANw_E3LwoDXvs5Un0HQ1vT-031RRL-9rYaw.ttf	الانجليزية	Libre Barcode 39 Text Regular
CinzelDecorative-Regular	en	Cinzel Decorative	Cinzel Decorative	https://storage.appchief.dev/fonts/url/daaCSScvJGqLYhG8nNt8KPPswUAPnh7URs1LaCyC.ttf	الانجليزية	Cinzel Decorative Regular
Rye-Regular	en	Rye	Rye	https://storage.appchief.dev/fonts/url/r05XGLJT86YDFpTsXOqx4w.ttf	الانجليزية	Rye Regular
SeaweedScript-Regular	en	Seaweed Script	Seaweed Script	https://storage.appchief.dev/fonts/url/bx6cNx6Tne2pxOATYE8C_Rsoe0WJ-KcGVbLW.ttf	الانجليزية	Seaweed Script
FingerPaint-Regular	en	Finger Paint	Finger Paint	https://storage.appchief.dev/fonts/url/0QInMXVJ-o-oRn_7dron8YWO85bS8ANesw.ttf	الانجليزية	Finger Paint Regular
StardosStencil-Regular	en	Stardos Stencil	Stardos Stencil	https://storage.appchief.dev/fonts/url/X7n94bcuGPC8hrvEOHXOgaKCc2TR71R3tiSx0g.ttf	الانجليزية	Stardos Stencil Regular
UnifrakturMaguntia	en	UnifrakturMaguntia	UnifrakturMaguntia	https://storage.appchief.dev/fonts/url/WWXPlieVYwiGNomYU-ciRLRvEmK7oaVun2xNNgNa1A.ttf	الانجليزية	UnifrakturMaguntia
BungeeShade-Regular	en	Bungee Shade	Bungee Shade	https://storage.appchief.dev/fonts/url/DtVkJxarWL0t2KdzK3oI_jks7iLSrwFUlw.ttf	الانجليزية	Bungee Shade
Akronim-Regular	en	Akronim	Akronim	https://storage.appchief.dev/fonts/url/fdN-9sqWtWZZlHRp-gBxkFYN-a8.ttf	الانجليزية	Akronim Regular
FrederickatheGreat-Regular	en	Fredericka the Great	Fredericka the Great	https://storage.appchief.dev/fonts/url/9Bt33CxNwt7aOctW2xjbCstzwVKsIBVV-9Skz7Ylch2L.ttf	الانجليزية	Fredericka the Great
Srisakdi-Regular	en	Srisakdi	Srisakdi	https://storage.appchief.dev/fonts/url/yMJRMIlvdpDbkB0A-jq8fSx5i814.ttf	الانجليزية	Srisakdi Regular
Sail-Regular	en	Sail	Sail	https://storage.appchief.dev/fonts/url/DPEjYwiBxwYJFBTDADYAbvw.ttf	الانجليزية	Sail
Flamenco-Light	en	Flamenco	Flamenco	https://storage.appchief.dev/fonts/February2021/7zPdiCy9BvE5swX8dzzi.ttf	الانجليزية	Flamenco Light
Flamenco-Regular	en	Flamenco	Flamenco	https://storage.appchief.dev/fonts/September2023/p0AF8nOPHzV9hizIdS7u.ttf	الانجليزية	Flamenco Regular
Babylonica-Regular	en	Babylonica	Babylonica	https://storage.appchief.dev/fonts/July2025/bqKhDWDpoxdfr8LERJPs.ttf	الانجليزية	Babylonica Regular
GreatVibes-Regular	en	Great Vibes	Great Vibes	https://storage.appchief.dev/fonts/July2025/e5n49sIHcNs8T8MgF3SM.ttf	الانجليزية	Great Vibes Regular
KaliebLuxury-Regular	en	Kalieb Luxury	Kalieb Luxury	https://storage.appchief.dev/fonts/July2025/tvfM9MGe1O2FxZ1yu3Vh.ttf	الانجليزية	Kalieb Luxury Regular
KaliebLuxury-Italic	en	Kalieb Luxury	Kalieb Luxury	https://storage.appchief.dev/fonts/July2025/YgrLze2Zj82egtvVSyuV.ttf	الانجليزية	Kalieb Luxury Italic
AnythingGoesRegular	en	Anything Goes	Anything Goes	https://storage.appchief.dev/fonts/August2025/gr1Aq92jiGCWQtomopky.ttf	الانجليزية	Anything Goes
AnythingGoesCutout	en	Anything Goes Cutout	Anything Goes Cutout	https://storage.appchief.dev/fonts/August2025/iWEJkjkp4UsZfCQNxqA2.ttf	الانجليزية	Anything Goes Cutout
LondrinaSolid-Light	en	Londrina Solid	Londrina Solid	https://storage.appchief.dev/fonts/August2025/RmeDxluVx4rbhfSuwea3.ttf	الانجليزية	Londrina Solid Light
LondrinaSolid-Regular	en	Londrina Solid	Londrina Solid	https://storage.appchief.dev/fonts/August2025/6KPgMrKRwnj78m6QIVCs.ttf	الانجليزية	Londrina Solid Regular
LondrinaSolid-Black	en	Londrina Solid	Londrina Solid	https://storage.appchief.dev/fonts/August2025/07t2Pr2JsOupfHyqk6Ko.ttf	الانجليزية	Londrina Solid Black
LondrinaShadow-Regular	en	Londrina Shadow	Londrina Shadow	https://storage.appchief.dev/fonts/August2025/P5zFSvbqDRGIRuLQs08Z.ttf	الانجليزية	Londrina Shadow Regular
CaveatBrush-Regular	en	Caveat Brush	Caveat Brush	https://storage.appchief.dev/fonts/August2025/RIlSZE6D0MPdSC8vqDUY.ttf	الانجليزية	Caveat Brush
Parisienne-Regular	en	Parisienne	Parisienne	https://storage.appchief.dev/fonts/August2025/V4gyEJBRtS0mxZ0lCXyb.ttf	الانجليزية	Parisienne
WindSong-Regular	en	WindSong	WindSong	https://storage.appchief.dev/fonts/August2025/va1W6zqGeKpbMftexwSc.ttf	الانجليزية	WindSong Regular
WindSong-Medium	en	WindSong	WindSong	https://storage.appchief.dev/fonts/August2025/uJBkrEFuaqNmcUkqh3mP.ttf	الانجليزية	WindSong Medium
DynaPuff-Regular	en	DynaPuff	DynaPuff	https://storage.appchief.dev/fonts/August2025/Riw0T4anKskMx1xUj46S.ttf	الانجليزية	DynaPuff Regular
